time,torque servo1
0,0
0.0551603,0
0.1867835,146.02857
0.3146125,326.64286
0.4589241,530.31429
0.6095413,741.67143
0.7305256,914.6
0.8588534,1087.5286
0.9866996,979.92857
1.1144295,891.54286
1.258536,964.55714
1.3865885,941.5
1.5145297,872.32857
1.6425669,937.65714
1.7707638,972.24286
1.8985456,891.54286
2.0427991,937.65714
2.186642,968.4
2.3311017,926.12857
2.4749493,953.02857
2.6187148,941.5
2.7463876,933.81429
2.8745551,868.48571
3.0028487,964.55714
3.1305457,941.5
3.2583294,876.17143
3.4022698,956.87143
3.5302883,983.77143
3.6582434,926.12857
3.786163,914.6
3.9143597,991.45714
4.059109,949.18571
4.2027332,895.38571
4.3463198,1052.9429
4.4744369,872.32857
4.6027823,864.64286
4.7302609,956.87143
4.8585898,1014.5143
4.986431,895.38571
5.1145319,910.75714
5.2583277,953.02857
5.3867569,941.5
5.5146148,868.48571
5.6586542,991.45714
5.7863421,910.75714
5.9144101,887.7
6.0425032,979.92857
6.1703672,945.34286
6.298214,933.81429
6.4427575,918.44286
6.5865808,1014.5143
6.7144657,933.81429
6.8426777,906.91429
6.9702998,979.92857
7.0982197,949.18571
7.2426832,887.7
7.3861861,960.71429
7.5141919,945.34286
7.6584129,895.38571
7.7864028,933.81429
7.914659,964.55714
8.0424894,933.81429
8.1863932,899.22857
8.3141203,1014.5143
8.4421997,960.71429
8.5703823,876.17143
8.6980115,945.34286
8.842637,983.77143
8.9864609,860.8
9.130007,956.87143
9.274644,953.02857
9.4020974,883.85714
9.5300475,987.61429
9.6584362,960.71429
9.7866728,941.5
9.9145989,918.44286
10.058053,972.24286
10.202536,964.55714
10.346006,868.48571
10.490265,987.61429
10.618513,926.12857
10.745773,864.64286
10.874374,999.14286
11.002447,956.87143
11.129772,887.7
11.258477,956.87143
11.401938,929.97143
11.530166,945.34286
11.658448,864.64286
11.786376,960.71429
11.914291,937.65714
12.058414,895.38571
12.201817,979.92857
12.346124,926.12857
12.474058,887.7
12.602433,918.44286
12.72994,945.34286
12.858044,933.81429
12.986527,883.85714
13.273988,922.28571
13.418337,1043.3357
13.545965,720.53571
13.674815,807
13.802649,822.37143
13.929925,937.65714
14.058179,899.22857
14.186666,837.74286
14.313715,914.6
14.441732,945.34286
14.601946,914.6
14.729791,628.30714
14.857409,628.30714
14.985718,628.30714
15.113599,628.30714
15.257887,628.30714
15.402165,628.30714
15.545683,628.30714
15.689977,628.30714
15.817894,628.30714
15.94593,628.30714
16.073786,628.30714
16.201799,628.30714
16.329588,628.30714
16.457543,628.30714
16.585791,628.30714
16.713524,628.30714
16.857722,628.30714
17.001485,628.30714
17.14536,628.30714
17.27387,628.30714
17.401646,628.30714
17.529476,628.30714
17.6579,634.07143
17.78592,634.07143
17.913723,634.07143
18.057614,634.07143
18.201401,634.07143
18.329401,634.07143
18.473612,634.07143
18.601266,634.07143
18.729263,634.07143
18.857467,634.07143
18.985511,634.07143
19.113592,634.07143
19.257472,634.07143
19.385587,634.07143
19.513503,634.07143
19.641209,634.07143
19.769182,634.07143
19.897519,634.07143
20.041441,639.83571
20.185667,639.83571
20.329177,639.83571
20.457868,639.83571
20.585476,639.83571
20.71349,639.83571
20.841513,639.83571
20.969575,639.83571
21.097685,639.83571
21.225533,639.83571
21.353448,639.83571
21.481358,639.83571
21.625384,639.83571
21.753478,639.83571
21.881014,639.83571
22.009559,639.83571
22.137755,639.83571
22.26511,639.83571
22.393187,639.83571
22.521467,639.83571
22.649649,639.83571
22.7777,639.83571
22.905455,639.83571
23.033557,639.83571
23.177157,639.83571
23.321497,639.83571
23.465143,639.83571
23.593463,639.83571
23.721265,639.83571
23.849555,639.83571
23.993511,639.83571
24.121498,639.83571
24.248879,639.83571
24.378493,639.83571
24.505612,639.83571
24.633119,639.83571
24.777746,639.83571
24.921478,639.83571
25.065057,639.83571
25.209138,639.83571
25.353134,639.83571
25.481116,639.83571
25.60933,639.83571
25.737044,639.83571
25.865046,639.83571
26.009125,639.83571
26.153577,639.83571
26.296852,639.83571
26.44107,639.83571
26.713632,616.77857
26.841468,914.6
26.985449,922.28571
27.113366,891.54286
27.258256,937.65714
27.384944,906.91429
27.513015,830.05714
27.641213,899.22857
27.76917,914.6
27.896943,807
28.057645,937.65714
28.200937,953.02857
28.345118,953.02857
28.489338,976.08571
28.632911,860.8
28.777192,830.05714
28.921219,937.65714
29.048999,860.8
29.17703,853.11429
29.304864,937.65714
29.432761,891.54286
29.577113,929.97143
29.720844,929.97143
29.864668,899.22857
29.992997,914.6
30.12131,953.02857
30.248696,845.42857
30.377128,891.54286
30.504876,953.02857
30.63316,876.17143
30.761502,868.48571
30.905095,953.02857
31.04863,899.22857
31.176698,860.8
31.305319,937.65714
31.432695,937.65714
31.561091,876.17143
31.704873,937.65714
31.848849,945.34286
31.993253,922.28571
32.12068,968.4
32.248685,922.28571
32.377018,853.11429
32.504849,929.97143
32.632903,945.34286
32.760672,837.74286
32.904618,868.48571
33.0486,945.34286
33.192837,876.17143
33.32073,945.34286
33.44842,976.08571
33.577108,883.85714
33.705089,922.28571
33.833084,976.08571
33.976765,860.8
34.1209,906.91429
34.248484,945.34286
34.377102,876.17143
34.504888,929.97143
34.632634,953.02857
34.760707,830.05714
34.904594,868.48571
35.048242,929.97143
35.192315,853.11429
35.336416,883.85714
35.464345,945.34286
35.592335,899.22857
35.720757,906.91429
35.848421,953.02857
35.97705,906.91429
36.120687,937.65714
36.264169,945.34286
36.408231,791.62857
36.552841,876.17143
36.696266,929.97143
36.840279,853.11429
36.968374,899.22857
37.096207,937.65714
37.22429,883.85714
37.352276,530.31429
37.480479,169.08571
37.624393,0
37.768238,0
37.913608,0
38.056613,0
38.184557,0
38.313055,0
38.44087,0
38.568223,0
38.696176,0
38.840743,0
38.98415,0
39.112317,0
39.240146,0
39.368054,0
39.496077,0
39.64038,0
39.784176,0
39.928186,0
40.056123,0
40.183777,0
