time,currents servo1
0,0
0.0556767,951.1071
0.2075548,868.4857
0.3514254,868.4857
0.4973176,841.5857
0.6452356,883.8571
0.7828707,464.9857
0.9267288,893.4643
1.070109,899.2286
1.213996,899.2286
1.358122,893.4643
1.502008,893.4643
1.646032,893.4643
1.790374,881.9357
1.9347,887.7
2.078854,887.7
2.223023,887.7
2.366091,887.7
2.51012,881.9357
2.654406,881.9357
2.798286,893.4643
2.942209,881.9357
3.086805,887.7
3.230438,881.9357
3.374624,887.7
3.518603,881.9357
3.662177,881.9357
3.807008,881.9357
3.950284,876.1714
4.09471,876.1714
4.238082,881.9357
4.38185,876.1714
4.526522,876.1714
4.670068,876.1714
4.813901,876.1714
4.958227,881.9357
5.101972,881.9357
5.245887,876.1714
5.390015,876.1714
5.533944,876.1714
5.678221,876.1714
5.82248,876.1714
5.965903,876.1714
6.110058,876.1714
6.253771,881.9357
6.397796,881.9357
6.542245,876.1714
6.685827,881.9357
6.829995,876.1714
6.973677,876.1714
7.118893,876.1714
7.261787,876.1714
7.406226,881.9357
7.549766,876.1714
7.694251,870.4071
7.837558,870.4071
7.981625,870.4071
8.125724,876.1714
8.253638,870.4071
8.381455,876.1714
8.509632,870.4071
8.637609,870.4071
8.765806,876.1714
8.89378,876.1714
9.021823,870.4071
9.149744,870.4071
9.277768,876.1714
9.405727,870.4071
9.533514,870.4071
9.661519,870.4071
9.78956,870.4071
9.917455,870.4071
10.0456,870.4071
10.17351,876.1714
10.30172,870.4071
10.4293,870.4071
10.55755,870.4071
10.68545,870.4071
10.81355,870.4071
10.94159,870.4071
11.08562,876.1714
11.21349,870.4071
11.35749,870.4071
11.50144,876.1714
11.64539,870.4071
11.78931,870.4071
11.93371,870.4071
12.07746,870.4071
12.22162,870.4071
12.36549,870.4071
12.50934,870.4071
12.63737,870.4071
12.76548,870.4071
12.89347,864.6429
13.02149,864.6429
13.14941,870.4071
13.27745,864.6429
13.40549,864.6429
13.53346,870.4071
13.66135,864.6429
