time,currents servo1,currents servo2
0,0,0
0,0,0
0.0514732,0,0
0.1733566,-16.14,0
0.2852536,-21.52,0
0.3977603,-21.52,0
0.5120623,-18.83,0
0.6370165,-16.14,0
0.7650135,-18.83,0
0.8768936,-18.83,0
1.004874,-16.14,0
1.116939,-16.14,0
1.228879,-18.83,0
1.340967,-16.14,0
1.452949,-69.94,0
1.564942,-217.89,0
1.693019,-328.18,0
1.805234,-457.3,0
1.916974,-594.49,0
2.028891,-704.78,0
2.140895,-761.27,0
2.269068,-685.95,0
2.397003,-672.5,0
2.524815,-720.92,0
2.652761,-712.85,0
2.764882,-640.22,0
2.877423,-734.37,0
2.988849,-788.17,0
3.100726,-640.22,0
3.212817,-659.05,0
3.32483,-734.37,0
3.436916,-677.88,0
3.548917,-607.94,0
3.66077,-715.54,0
3.773031,-707.47,0
3.884727,-650.98,0
3.996643,-667.12,0
4.124652,-707.47,0
4.252941,-742.44,0
4.381108,-613.32,0
4.492605,-696.71,0
4.604763,-750.51,0
4.716753,-640.22,0
4.84469,-653.67,0
4.972791,-823.14,0
5.101176,-637.53,0
5.212762,-634.84,0
5.324965,-715.54,0
5.436629,-731.68,0
5.548668,-645.6,0
5.676643,-720.92,0
5.804675,-702.09,0
5.93295,-659.05,0
6.060958,-661.74,0
6.188888,-763.96,0
6.316642,-661.74,0
6.444613,-659.05,0
6.572812,-720.92,0
6.70071,-685.95,0
6.812711,-680.57,0
6.924749,-699.4,0
7.036503,-696.71,0
7.148497,-683.26,0
7.260563,-648.29,0
7.372497,-718.23,0
7.484416,-707.47,0
7.59648,-667.12,0
7.70845,-688.64,0
7.820722,-712.85,0
7.932361,-715.54,0
8.044467,-645.6,0
8.156665,-696.71,0
8.268474,-747.82,0
8.380548,-637.53,0
8.50836,-650.98,0
8.636487,-680.57,0
8.76448,-672.5,0
8.89253,-667.12,0
9.020618,-723.61,0
9.148506,-677.88,0
9.260477,-629.46,0
9.372492,-710.16,0
9.484369,-718.23,0
9.59642,-653.67,0
9.708464,-653.67,0
9.820397,-755.89,0
9.932379,-688.64,0
10.0445,-632.15,0
10.15642,-696.71,0
10.26843,-672.5,0
10.3806,-659.05,0
10.49236,-648.29,0
