time,torque servo1
0,0
0.0472252,1273.9071
0.1751659,883.85714
0.3031881,830.05714
0.4310746,461.14286
0.5600032,864.64286
0.6868067,864.64286
0.8307843,864.64286
0.9590643,864.64286
1.086855,864.64286
1.2150973,864.64286
1.3429966,864.64286
1.4710123,864.64286
1.5995442,864.64286
1.7427253,858.87857
1.8867448,858.87857
2.0145947,858.87857
2.1427172,858.87857
2.2868255,858.87857
2.430745,858.87857
2.5588068,858.87857
2.6870378,858.87857
2.8150958,858.87857
2.9429544,858.87857
3.0709267,858.87857
3.1988436,858.87857
3.3270414,858.87857
3.4549441,858.87857
3.5827855,858.87857
3.7109585,853.11429
3.8389644,853.11429
3.9668825,853.11429
4.1106362,853.11429
4.2551963,853.11429
4.3987646,853.11429
4.5270697,853.11429
4.6549285,853.11429
4.7828367,853.11429
4.91112,853.11429
5.0390398,853.11429
5.1665222,853.11429
5.3116957,853.11429
5.4550796,853.11429
5.5996222,853.11429
5.7427349,853.11429
5.8706589,853.11429
5.9994878,853.11429
6.1267919,853.11429
6.2548974,853.11429
6.3989429,853.11429
6.5435532,853.11429
6.6709122,853.11429
6.80034,853.11429
6.9271447,847.35
7.0550066,847.35
7.1989865,847.35
7.3424723,847.35
7.4864814,847.35
7.6469269,847.35
7.7748492,847.35
7.9029107,847.35
8.0310546,847.35
8.1590768,847.35
8.2862276,847.35
8.4150717,847.35
8.5427839,847.35
8.6704841,847.35
8.8148937,847.35
8.9587838,847.35
9.0864033,847.35
9.214199,847.35
9.3428797,847.35
9.470368,847.35
9.5988586,847.35
9.7269143,847.35
9.8551593,847.35
9.9830059,847.35
10.127124,847.35
10.270633,847.35
10.415088,847.35
10.558177,847.35
10.686156,847.35
10.814424,847.35
10.958403,847.35
11.102903,847.35
11.246912,847.35
11.374661,841.58571
11.502951,841.58571
11.630963,841.58571
11.759039,841.58571
11.902643,841.58571
12.046386,841.58571
12.190186,841.58571
12.334351,841.58571
12.478086,841.58571
12.606444,841.58571
12.734234,841.58571
12.878167,841.58571
13.022329,841.58571
13.166161,841.58571
