time,current servo1
0,0
0.0326672,0
0.1440706,61.87
0.256041,34.97
0.3839367,32.28
0.5119485,40.35
0.6403033,172.16
0.7686398,209.82
0.8803542,209.82
0.9921751,217.89
1.120105,231.34
1.248627,201.75
1.359935,207.13
1.472104,209.82
1.584103,217.89
1.696333,212.51
1.808678,212.51
1.936799,223.27
2.064229,225.96
2.192383,207.13
2.320683,225.96
2.432217,217.89
2.560237,196.37
2.671917,204.44
2.783839,220.58
2.895891,228.65
3.007631,217.89
3.136184,220.58
3.264186,228.65
3.392135,209.82
3.503641,209.82
3.632398,212.51
3.744427,217.89
3.85658,212.51
3.983783,220.58
4.112351,223.27
4.240301,220.58
4.35207,215.2
4.480022,225.96
4.591893,225.96
4.703958,207.13
4.816073,209.82
4.928045,212.51
5.056116,217.89
5.167724,217.89
5.279607,223.27
5.391744,217.89
5.503496,204.44
5.615833,201.75
5.743983,207.13
5.855448,215.2
5.968351,217.89
6.079499,204.44
6.192265,212.51
6.303489,212.51
6.415644,201.75
6.52752,204.44
6.640201,209.82
6.768091,217.89
6.880005,201.75
6.991525,196.37
7.119459,196.37
7.247685,212.51
7.376208,201.75
7.487565,207.13
7.600019,217.89
7.711947,209.82
7.823995,201.75
7.935331,207.13
8.04772,217.89
8.160111,204.44
8.271483,204.44
8.399613,215.2
8.527469,228.65
8.655652,215.2
8.784016,217.89
8.91175,215.2
9.040099,220.58
9.167428,207.13
9.296254,220.58
9.407926,223.27
9.52032,209.82
9.631952,215.2
9.744115,231.34
9.871303,228.65
9.999473,207.13
10.12741,220.58
10.25558,225.96
10.38364,209.82
10.5118,207.13
10.62367,234.03
10.73606,225.96
10.84759,215.2
10.95965,207.13
11.0715,215.2
11.20007,234.03
11.32753,199.06
11.43917,217.89
11.55099,220.58
11.79133,212.51
11.90353,88.77
12.03183,45.73
12.15978,51.11
12.2873,53.8
12.41613,59.18
12.52726,53.8
12.63971,56.49
12.752,64.56
12.86376,78.01
12.97571,61.87
13.08724,59.18
13.19964,59.18
13.31151,59.18
13.42417,53.8
13.55169,56.49
13.67944,56.49
13.80777,51.11
13.93594,53.8
14.04732,53.8
14.15898,56.49
14.27105,61.87
14.38332,72.63
14.49549,80.7
14.60731,64.56
14.71904,59.18
14.83145,61.87
14.95968,59.18
15.07095,53.8
15.1994,59.18
15.32724,59.18
15.43905,51.11
15.55098,51.11
15.66342,64.56
15.77544,67.25
15.88706,64.56
16.01551,64.56
16.12729,67.25
16.23918,61.87
16.35075,56.49
16.46338,56.49
16.59113,53.8
16.70271,51.11
16.83138,56.49
16.95924,56.49
17.08724,51.11
17.19913,56.49
17.31165,59.18
17.42302,56.49
17.53511,59.18
17.77488,67.25
17.90298,185.61
18.03098,215.2
18.15879,207.13
18.28675,207.13
18.39945,199.06
18.51155,193.68
18.62284,207.13
18.73548,204.44
18.84719,193.68
18.95878,204.44
19.08671,209.82
19.21531,212.51
19.32732,207.13
19.43856,201.75
19.55096,209.82
19.67898,212.51
19.79061,199.06
19.91965,207.13
20.04727,209.82
20.17482,201.75
20.30325,204.44
20.41545,215.2
20.52711,215.2
20.63919,190.99
20.75075,196.37
20.86284,212.51
20.9752,223.27
21.08827,207.13
21.19924,215.2
21.31142,207.13
21.42341,217.89
21.5509,207.13
21.67949,212.51
21.80682,215.2
21.93454,234.03
22.0466,220.58
22.15843,228.65
22.27039,215.2
22.38337,207.13
22.49479,209.82
22.60663,234.03
22.73535,244.79
22.86266,209.82
22.99103,225.96
23.11883,231.34
23.24712,217.89
23.35898,204.44
23.47047,212.51
23.58317,225.96
23.82257,225.96
23.9505,75.32
24.06298,45.73
24.17531,56.49
24.28644,59.18
24.39853,59.18
24.52139,61.87
24.6384,59.18
24.76731,61.87
24.89518,61.87
25.02255,61.87
25.15035,61.87
25.26226,61.87
25.37519,61.87
25.48668,40.35
25.59921,59.18
25.71061,53.8
25.82254,64.56
25.93496,56.49
26.04638,75.32
26.15886,86.08
26.28745,72.63
26.39881,61.87
26.51056,64.56
26.62218,67.25
26.73478,53.8
26.84665,67.25
26.95885,69.94
27.07112,64.56
27.18255,78.01
27.29466,83.39
27.40657,67.25
27.51861,56.49
27.63086,56.49
27.74242,53.8
27.87013,56.49
27.99853,53.8
28.1262,53.8
28.2381,61.87
28.34996,64.56
28.46246,61.87
28.57447,78.01
28.68631,78.01
28.79848,56.49
28.91065,56.49
29.02251,61.87
29.13461,53.8
29.24653,53.8
29.35895,59.18
29.4867,51.11
29.75863,53.8
29.88618,56.49
29.99855,51.11
30.1101,56.49
30.22218,59.18
30.33388,56.49
30.44622,37.66
30.55815,61.87
30.67016,56.49
30.79811,24.21
30.92648,32.28
31.05413,56.49
31.18228,45.73
31.29489,32.28
31.40592,37.66
31.51798,53.8
31.64602,26.9
31.7741,51.11
31.88598,56.49
32.01379,53.8
32.12655,51.11
32.23819,59.18
32.35036,53.8
32.46206,53.8
32.57391,61.87
32.70208,59.18
32.83005,51.11
32.95856,59.18
33.08658,61.87
33.21417,56.49
33.3263,56.49
33.45386,59.18
33.58248,59.18
33.6938,56.49
33.80592,34.97
33.91759,-2.69
34.03053,-45.73
34.14228,-37.66
34.27066,-37.66
34.39847,-43.04
34.51054,-40.35
34.62194,-40.35
34.75026,-45.73
34.87854,-48.42
34.99029,-40.35
35.10231,-45.73
35.21377,-45.73
35.3423,-43.04
35.47038,-43.04
35.58216,-51.11
35.69434,-53.8
