time,current servo1
0,0
0.0313856,0
0.1593545,99.53
0.2874897,158.71
0.4152943,277.07
0.5430457,411.57
0.6718016,500.34
0.7999817,645.6
0.9272692,726.3
1.055119,798.93
1.183852,750.51
1.311186,753.2
1.439256,723.61
1.567198,742.44
1.695098,753.2
1.82386,688.64
1.935232,737.06
2.06328,828.52
2.191921,761.27
2.319108,704.78
2.447037,831.21
2.575102,728.99
2.703396,683.26
2.831086,774.72
2.958975,734.37
3.087113,715.54
3.215574,712.85
3.343522,737.06
3.471454,772.03
3.598925,691.33
3.727119,731.68
3.855574,820.45
3.983601,737.06
4.111104,718.23
4.23902,841.97
4.351625,766.65
4.479203,712.85
4.606986,798.93
4.735346,785.48
4.863139,745.13
4.991033,728.99
5.1191,763.96
5.246889,761.27
5.374988,710.16
5.502933,758.58
5.631034,772.03
5.758985,747.82
5.870838,731.68
5.982859,831.21
6.094759,774.72
6.206945,726.3
6.319034,761.27
6.431354,809.69
6.543081,772.03
6.671275,726.3
6.79972,774.72
6.926781,807
7.055643,755.89
7.182842,739.75
7.294746,790.86
7.422751,807
7.551393,723.61
7.679003,780.1
7.790711,833.9
7.919419,747.82
8.046848,747.82
8.158669,815.07
8.286708,820.45
8.414771,734.37
8.542611,793.55
8.671335,798.93
8.799088,777.41
8.927131,726.3
9.054651,839.28
9.182967,812.38
9.310819,739.75
9.438732,793.55
9.566674,774.72
9.694563,780.1
9.822589,734.37
9.951025,823.14
10.07857,788.17
10.20684,739.75
10.33521,817.76
10.46249,844.66
10.59147,782.79
10.71917,731.68
10.84637,833.9
10.97461,858.11
11.10281,737.06
11.23052,815.07
11.35852,788.17
11.48675,769.34
11.61457,758.58
11.74295,796.24
11.87101,866.18
11.99886,710.16
12.12705,825.83
12.25506,809.69
12.52648,769.34
12.65451,659.05
12.78316,521.86
12.91139,384.67
13.03872,258.24
13.16668,258.24
13.29524,290.52
13.42244,252.86
13.55088,269
13.67852,282.45
13.80644,266.31
13.93524,271.69
14.06258,285.14
14.19085,274.38
14.31921,277.07
14.44668,285.14
14.57438,258.24
14.70316,260.93
14.83047,285.14
14.95917,279.76
15.08702,250.17
15.21452,279.76
15.34315,282.45
15.4707,258.24
15.59905,277.07
15.72619,290.52
15.85489,242.1
15.98278,274.38
16.11041,285.14
16.23864,250.17
16.36642,263.62
16.49429,287.83
16.62271,266.31
16.75081,263.62
16.87827,287.83
17.0066,269
17.13479,260.93
17.262,287.83
17.39025,285.14
17.50218,252.86
17.61418,274.38
17.72598,293.21
17.83815,258.24
17.94993,274.38
18.06212,290.52
18.174,290.52
18.28617,269
18.39815,290.52
18.52606,285.14
18.65401,266.31
18.91007,290.52
19.03796,400.81
19.16602,535.31
19.29391,667.12
19.42187,801.62
19.55054,930.74
19.67829,809.69
19.80587,696.71
19.93402,755.89
20.06178,780.1
20.1739,782.79
20.28643,766.65
20.39821,704.78
20.50988,780.1
20.62198,839.28
20.73393,731.68
20.84591,718.23
20.95807,841.97
21.07022,954.95
21.18224,718.23
21.29464,715.54
21.40629,852.73
21.51814,777.41
21.62977,715.54
21.75842,758.58
21.88598,815.07
21.99807,782.79
22.1262,715.54
22.25426,817.76
22.38228,855.42
22.51037,737.06
22.63777,728.99
22.76635,876.94
22.89379,785.48
23.02193,774.72
23.15053,847.35
23.27832,777.41
23.40598,761.27
23.53454,782.79
23.66197,804.31
23.79034,828.52
23.9183,723.61
24.04589,815.07
24.17414,852.73
24.30224,753.2
24.42994,745.13
24.55777,903.84
24.68555,796.24
24.81396,715.54
24.92611,852.73
25.1819,737.06
25.31038,624.08
25.43802,486.89
25.56597,349.7
25.69349,247.48
25.82188,266.31
25.94995,242.1
26.07801,271.69
26.20618,290.52
26.33416,252.86
26.46181,269
26.59046,290.52
26.71837,247.48
26.84622,260.93
26.97353,282.45
27.1021,266.31
27.2299,263.62
27.35755,285.14
27.48576,279.76
27.61346,266.31
27.74144,287.83
27.87135,298.59
27.99749,266.31
28.12569,290.52
28.25369,293.21
28.38138,266.31
28.50937,282.45
28.63761,287.83
28.76598,263.62
28.89418,279.76
29.02216,290.52
29.14986,266.31
29.27822,271.69
29.40568,301.28
29.53401,258.24
29.66132,277.07
29.79006,293.21
29.91827,282.45
30.04581,282.45
30.17414,293.21
30.3019,277.07
30.42931,263.62
30.55813,279.76
30.68558,285.14
30.81364,258.24
30.94217,271.69
31.06979,293.21
31.19735,260.93
31.32514,290.52
31.45334,298.59
31.7252,285.14
31.85345,314.73
31.98149,274.38
32.1095,287.83
32.2374,301.28
32.36529,285.14
32.49331,295.9
32.62143,303.97
32.74909,277.07
32.86104,293.21
32.98947,306.66
33.11731,290.52
33.24519,282.45
33.37346,293.21
33.50151,287.83
33.62967,271.69
33.75777,285.14
33.88504,303.97
34.01328,271.69
34.1426,290.52
34.26948,303.97
34.39718,287.83
34.5254,279.76
34.65344,295.9
34.78128,298.59
34.90948,282.45
35.03738,303.97
35.16528,293.21
35.29349,274.38
35.42135,295.9
35.54924,293.21
35.67737,263.62
35.80517,293.21
35.93327,145.26
36.0609,21.52
36.18937,-48.42
36.30118,-67.25
36.42979,-59.18
36.54115,-61.87
36.65338,-67.25
36.78128,-59.18
36.90927,-61.87
37.03727,-61.87
37.1649,-61.87
37.2772,-59.18
37.40481,-64.56
37.51722,-64.56
37.62889,-61.87
37.7414,-61.87
37.85326,-61.87
37.9812,-61.87
