time,current servo1
0,0
0.0316126,0
0.1434012,104.91
0.2552656,64.56
0.3680906,204.44
0.4799397,309.35
0.5917247,422.33
0.7036251,497.65
0.8155763,632.15
0.9276039,723.61
1.039485,782.79
1.151688,777.41
1.263546,750.51
1.375632,728.99
1.487545,753.2
1.599542,761.27
1.711615,847.35
1.823439,715.54
1.935686,704.78
2.047639,780.1
2.159491,823.14
2.271352,685.95
2.383517,715.54
2.495547,860.8
2.607688,739.75
2.719464,677.88
2.831664,742.44
2.959533,801.62
3.087275,737.06
3.215396,720.92
3.343826,772.03
3.471705,750.51
3.599916,737.06
3.727524,734.37
3.855508,796.24
3.967744,750.51
4.080128,712.85
4.207977,753.2
4.319801,812.38
4.431356,769.34
4.544084,750.51
4.655129,804.31
4.767663,780.1
4.87964,758.58
4.991248,718.23
5.103128,809.69
5.215893,809.69
5.327611,758.58
5.439305,699.4
5.551537,796.24
5.663293,812.38
5.775279,745.13
5.887226,710.16
5.999442,828.52
6.111269,782.79
6.223354,731.68
6.335341,747.82
6.447455,847.35
6.559361,758.58
6.671364,720.92
6.783229,728.99
6.89544,793.55
7.007315,858.11
7.119165,780.1
7.231318,737.06
7.343382,809.69
7.455119,860.8
7.567412,723.61
7.679884,758.58
7.79158,882.32
7.903509,817.76
8.015828,688.64
8.127019,769.34
8.239261,847.35
8.351728,774.72
8.463399,723.61
8.575548,763.96
8.687627,831.21
8.799145,798.93
8.911745,710.16
9.022918,761.27
9.135743,852.73
9.247322,788.17
9.359209,718.23
9.470767,817.76
9.583776,868.87
9.69547,753.2
9.806844,737.06
9.919609,820.45
10.03124,796.24
10.14303,793.55
10.25483,723.61
10.36695,798.93
10.4789,801.62
10.59086,828.52
10.7037,715.54
10.81499,793.55
10.9274,882.32
11.03921,777.41
11.27893,801.62
11.3909,707.47
11.50281,586.42
11.61467,465.37
11.72742,347.01
11.83884,258.24
11.95146,242.1
12.06344,301.28
12.17499,252.86
12.28923,255.55
12.39948,277.07
12.5108,282.45
12.62286,255.55
12.73467,285.14
12.84669,293.21
12.95871,279.76
13.07056,271.69
13.18253,287.83
13.29479,298.59
13.42259,252.86
13.55079,277.07
13.67873,285.14
13.80668,263.62
13.93472,274.38
14.06261,293.21
14.17453,277.07
14.28657,266.31
14.39856,290.52
14.51043,287.83
14.62242,263.62
14.73467,282.45
14.8464,293.21
14.95896,277.07
15.07104,271.69
15.18277,285.14
15.29482,290.52
15.40648,266.31
15.51849,277.07
15.64663,295.9
15.77474,277.07
15.88655,260.93
15.99852,285.14
16.11034,295.9
16.22238,271.69
16.35122,285.14
16.4792,301.28
16.60649,279.76
16.73465,293.21
16.86263,306.66
16.99065,269
17.26238,298.59
17.39052,411.57
17.51903,546.07
17.64652,677.88
17.775,809.69
17.90293,758.58
18.03038,750.51
18.15843,860.8
18.27025,720.92
18.39836,753.2
18.52643,895.77
18.6548,702.09
18.78224,766.65
18.91024,898.46
19.02228,728.99
19.15037,702.09
19.27838,855.42
19.4063,742.44
19.53508,745.13
19.66368,769.34
19.79065,798.93
19.91898,836.59
20.04702,696.71
20.17429,839.28
20.30224,858.11
20.43055,702.09
20.55849,809.69
20.68627,879.63
20.81467,712.85
20.94282,742.44
21.07112,839.28
21.19819,772.03
21.32652,737.06
21.45483,815.07
21.58233,850.04
21.71014,755.89
21.83822,753.2
21.96595,874.25
22.09436,968.4
22.22208,691.33
22.35103,825.83
22.4789,807
22.60636,772.03
22.73405,763.96
22.86251,850.04
22.98997,850.04
23.11877,718.23
23.24644,807
23.37485,809.69
23.50277,766.65
23.77444,906.53
23.88684,769.34
24.01462,634.84
24.14265,497.65
24.27058,360.46
24.39875,234.03
24.52651,260.93
24.65429,290.52
24.78231,277.07
24.89477,279.76
25.02187,298.59
25.13467,271.69
25.2622,271.69
25.38984,301.28
25.51824,279.76
25.64609,285.14
25.77379,293.21
25.90192,279.76
26.0299,287.83
26.1579,282.45
26.28612,282.45
26.41376,271.69
26.54212,282.45
26.67008,298.59
26.79832,271.69
26.92603,287.83
27.05449,295.9
27.18212,266.31
27.31008,285.14
27.43816,295.9
27.56602,250.17
27.69371,287.83
27.82307,287.83
27.9499,260.93
28.07786,274.38
28.20594,293.21
28.33389,274.38
28.46197,266.31
28.58965,282.45
28.71777,279.76
28.84589,271.69
28.97393,290.52
29.10188,301.28
29.22979,266.31
29.35791,290.52
29.48595,303.97
29.61389,263.62
29.74184,287.83
29.86986,317.42
29.99808,277.07
30.26992,298.59
30.39788,285.14
30.52588,293.21
30.6537,312.04
30.78182,269
30.90994,293.21
31.03778,303.97
31.16582,287.83
31.29382,287.83
31.42162,298.59
31.5499,298.59
31.67791,277.07
31.80547,295.9
31.93393,298.59
32.06172,260.93
32.18958,287.83
32.31769,293.21
32.44596,255.55
32.57347,282.45
32.70179,277.07
32.82994,282.45
32.95777,277.07
33.08583,295.9
33.21376,290.52
33.34187,263.62
33.46938,287.83
33.59752,298.59
33.70936,255.55
33.82127,285.14
33.9334,156.02
34.04535,51.11
34.15789,0
34.2698,-72.63
34.38133,-59.18
34.49386,-56.49
34.60522,-56.49
34.71761,-61.87
34.82964,-59.18
34.94136,-61.87
35.05338,-64.56
35.16589,-61.87
35.27728,-56.49
35.38936,-59.18
35.50125,-61.87
35.6136,-59.18
35.72573,-61.87
35.83788,-69.94
35.9652,-67.25
36.07696,-64.56
36.18907,-67.25
36.30167,-69.94
