time,current servo1
0,0
0.0313527,0
0.1432312,118.36
0.2546269,244.79
0.3663823,336.25
0.5054831,465.37
0.6224699,572.97
0.734139,672.5
0.8467449,807
0.9583474,726.3
1.07062,755.89
1.199167,777.41
1.326403,683.26
1.454436,769.34
1.566464,828.52
1.67901,707.47
1.790093,723.61
1.902726,790.86
2.014793,782.79
2.126065,680.57
2.238913,691.33
2.35018,766.65
2.462135,739.75
2.590337,696.71
2.718001,772.03
2.846447,742.44
2.974044,710.16
3.102297,737.06
3.230298,726.3
3.342151,812.38
3.453941,712.85
3.56617,745.13
3.677984,755.89
3.790052,763.96
3.901899,699.4
4.013787,728.99
4.12585,769.34
4.238004,726.3
4.366477,718.23
4.494086,758.58
4.606209,737.06
4.718248,718.23
4.830165,694.02
4.942068,772.03
5.054237,782.79
5.166115,728.99
5.294531,718.23
5.406328,745.13
5.518073,761.27
5.629901,742.44
5.741936,715.54
5.853762,798.93
5.981978,750.51
6.109792,737.06
6.221914,788.17
6.333756,820.45
6.461897,761.27
6.573911,704.78
6.685785,761.27
6.797701,790.86
6.925918,777.41
7.03784,723.61
7.149651,772.03
7.261603,817.76
7.374079,750.51
7.486074,720.92
7.613876,798.93
7.741929,774.72
7.870308,699.4
7.99772,820.45
8.109715,796.24
8.221759,780.1
8.333533,718.23
8.445577,761.27
8.557589,772.03
8.669736,755.89
8.783577,728.99
8.910243,807
9.037828,809.69
9.165701,745.13
9.294208,750.51
9.406129,804.31
9.51762,793.55
9.630111,750.51
9.741665,731.68
9.869808,782.79
9.997592,788.17
10.10951,710.16
10.22153,755.89
10.33347,788.17
10.44547,782.79
10.55749,745.13
10.66974,790.86
10.79736,782.79
10.92549,766.65
11.05358,734.37
11.18165,807
11.29361,788.17
11.40555,747.82
11.646,788.17
11.77406,664.43
11.88587,524.55
12.0142,398.12
12.1426,279.76
12.26957,236.72
12.39753,277.07
12.5097,290.52
12.62171,244.79
12.73362,260.93
12.86146,285.14
12.97356,255.55
13.10161,247.48
13.22938,274.38
13.35747,263.62
13.46973,247.48
13.58177,274.38
13.694,282.45
13.80586,258.24
13.91735,282.45
14.02946,282.45
14.14193,274.38
14.26918,266.31
14.39793,282.45
14.51003,282.45
14.62203,250.17
14.7339,255.55
14.84538,274.38
14.95723,279.76
15.06945,260.93
15.18169,285.14
15.29338,287.83
15.40605,269
15.53346,271.69
15.66185,298.59
15.78937,269
15.91727,277.07
16.04563,277.07
16.15798,279.76
16.26946,277.07
16.38184,285.14
16.49339,301.28
16.6054,269
16.7171,258.24
16.84585,277.07
16.97363,274.38
17.08528,255.55
17.19727,266.31
17.30938,282.45
17.42141,271.69
17.67718,303.97
17.80558,408.88
17.93314,543.38
18.06118,669.81
18.17558,793.55
18.28513,745.13
18.3969,704.78
18.50886,796.24
18.62102,739.75
18.73295,715.54
18.861,809.69
18.98955,766.65
19.11739,707.47
19.24531,777.41
19.35767,815.07
19.46949,750.51
19.58105,737.06
19.69322,761.27
19.80505,866.18
19.91737,731.68
20.04493,737.06
20.173,825.83
20.28497,755.89
20.39775,707.47
20.50939,772.03
20.62142,785.48
20.73299,769.34
20.86129,718.23
20.98955,788.17
21.10094,895.77
21.21289,763.96
21.32519,712.85
21.43716,796.24
21.54979,817.76
21.66077,747.82
21.77292,742.44
21.88514,774.72
21.99681,807
22.10865,763.96
22.22078,750.51
22.34895,785.48
22.47725,831.21
22.60523,715.54
22.73305,804.31
22.86101,815.07
22.97322,828.52
23.08475,734.37
23.1972,788.17
23.30919,796.24
23.42112,777.41
23.69339,817.76
23.82127,672.5
23.93294,546.07
24.06077,408.88
24.17296,282.45
24.2846,207.13
24.39721,277.07
24.50911,287.83
24.62047,266.31
24.73265,263.62
24.86082,282.45
24.9891,263.62
25.10065,263.62
25.21255,285.14
25.32466,279.76
25.43723,244.79
25.56532,269
25.69309,285.14
25.82095,242.1
25.94968,269
26.07707,274.38
26.18841,252.86
26.30055,266.31
26.41253,282.45
26.52463,290.52
26.63653,263.62
26.74933,287.83
26.86127,293.21
26.97331,271.69
27.08443,255.55
27.21323,271.69
27.3409,287.83
27.4686,250.17
27.59709,271.69
27.70842,290.52
27.82104,255.55
27.93303,274.38
28.04489,290.52
28.17318,271.69
28.28466,269
28.3965,279.76
28.52452,293.21
28.6367,266.31
28.76496,279.76
28.89311,293.21
29.02072,269
29.13246,279.76
29.24524,290.52
29.3571,306.66
29.46844,260.93
29.70879,298.59
29.82142,263.62
29.9332,269
30.04492,282.45
30.17332,285.14
30.30062,260.93
30.42912,285.14
30.55635,301.28
30.68449,250.17
30.81303,279.76
30.92443,293.21
31.03686,260.93
31.14923,282.45
31.26054,287.83
31.37237,295.9
31.48463,287.83
31.61248,282.45
31.74014,312.04
31.86819,287.83
31.99649,279.76
32.10825,293.21
32.22058,301.28
32.3326,252.86
32.44468,271.69
32.55623,277.07
32.66803,293.21
32.79667,279.76
32.92508,298.59
33.03638,295.9
33.14856,266.31
33.26048,290.52
33.37257,298.59
33.48403,282.45
33.61199,258.24
33.74022,255.55
33.868,86.08
33.99616,8.07
34.10822,-61.87
34.22013,-59.18
34.33203,-56.49
34.44406,-61.87
34.57205,-64.56
34.68404,-61.87
34.79587,-61.87
34.90786,-64.56
35.0205,-61.87
35.14836,-59.18
35.27649,-64.56
35.40445,-67.25
35.53258,-61.87
35.64452,-67.25
