time,current servo1
0,0
0.029186,0
0.1410143,83.39
0.2531596,59.18
0.3650155,64.56
0.4770456,83.39
0.5892415,223.27
0.701362,298.59
0.8130208,314.73
0.9253591,301.28
1.037348,312.04
1.149177,298.59
1.261267,287.83
1.373162,306.66
1.485043,328.18
1.597226,301.28
1.724984,290.52
1.836911,320.11
1.965264,320.11
2.093249,301.28
2.221245,312.04
2.349025,330.87
2.476879,317.42
2.605102,301.28
2.733204,338.94
2.860948,325.49
2.989317,306.66
3.117168,317.42
3.2452,312.04
3.373053,317.42
3.485086,306.66
3.596884,312.04
3.7089,314.73
3.821009,317.42
3.932981,322.8
4.045049,341.63
4.156986,325.49
4.269156,306.66
4.380968,306.66
4.492735,328.18
4.62085,336.25
4.748981,328.18
4.877106,333.56
5.00491,338.94
5.133201,330.87
5.261336,317.42
5.388804,344.32
5.517358,341.63
5.629194,314.73
5.740942,322.8
5.853038,320.11
5.964869,347.01
6.077053,333.56
6.188874,341.63
6.300801,330.87
6.412855,333.56
6.524812,309.35
6.636786,347.01
6.74871,355.08
6.860633,333.56
6.972816,328.18
7.084667,328.18
7.196927,336.25
7.308746,333.56
7.420689,355.08
7.532862,333.56
7.644763,333.56
7.756799,347.01
7.868911,336.25
7.980925,333.56
8.093366,355.08
8.204493,344.32
8.317054,314.73
8.428605,347.01
8.541077,336.25
8.653051,322.8
8.76486,338.94
8.876764,341.63
8.988936,349.7
9.100626,322.8
9.213107,341.63
9.324732,341.63
9.437051,365.84
9.548956,333.56
9.660496,325.49
9.772969,338.94
9.884623,349.7
9.996427,317.42
10.10856,352.39
10.22054,338.94
10.33247,344.32
10.44447,322.8
10.55639,333.56
10.66843,341.63
10.78044,363.15
10.89255,314.73
11.02064,317.42
11.14843,330.87
11.27668,333.56
11.5487,325.49
11.66032,201.75
11.77229,80.7
11.88427,51.11
11.99645,59.18
12.10849,59.18
12.23666,53.8
12.34862,53.8
12.46019,69.94
12.57256,69.94
12.68479,64.56
12.79676,83.39
12.90842,67.25
13.02031,75.32
13.1329,59.18
13.24442,59.18
13.35672,56.49
13.48451,48.42
13.59646,64.56
13.70821,72.63
13.83662,53.8
13.96426,69.94
14.09233,59.18
14.22081,61.87
14.34942,64.56
14.47621,56.49
14.60455,53.8
14.73237,51.11
14.86014,59.18
14.98803,64.56
15.11622,56.49
15.2444,56.49
15.37233,56.49
15.50022,53.8
15.6284,53.8
15.7562,61.87
15.88424,56.49
16.0123,53.8
16.14049,56.49
16.26879,56.49
16.39633,61.87
16.52402,64.56
16.65221,61.87
16.78068,64.56
16.9085,67.25
17.03635,75.32
17.16459,78.01
17.29319,80.7
17.42131,80.7
17.54852,78.01
17.804,78.01
17.91606,190.99
18.02838,306.66
18.14055,328.18
18.25248,306.66
18.3645,333.56
18.47624,325.49
18.58845,303.97
18.70038,320.11
18.81195,328.18
18.92465,347.01
19.05194,314.73
19.17997,341.63
19.30805,347.01
19.43606,328.18
19.56393,330.87
19.69204,341.63
19.82032,325.49
19.94814,320.11
20.07616,317.42
20.20423,325.49
20.3325,325.49
20.46829,317.42
20.58829,330.87
20.71651,338.94
20.84392,317.42
20.97236,330.87
21.10026,363.15
21.22774,325.49
21.35604,347.01
21.48428,347.01
21.61203,336.25
21.74037,336.25
21.86843,336.25
21.99614,333.56
22.12444,320.11
22.25187,325.49
22.38009,330.87
22.50838,317.42
22.63657,309.35
22.76418,325.49
22.89253,357.77
23.02006,322.8
23.1482,360.46
23.27648,347.01
23.40433,322.8
23.53226,330.87
23.6596,341.63
23.78838,336.25
23.91623,317.42
24.20431,349.7
24.33229,196.37
24.46006,56.49
24.58836,53.8
24.71561,59.18
24.8438,59.18
24.97216,56.49
25.09968,64.56
25.22764,64.56
25.35569,59.18
25.48371,59.18
25.61161,61.87
25.74006,59.18
25.86805,59.18
25.99587,61.87
26.10802,56.49
26.21988,53.8
26.33217,59.18
26.44358,59.18
26.55531,64.56
26.66738,69.94
26.77932,78.01
26.90747,75.32
27.03538,67.25
27.16356,72.63
27.29162,78.01
27.41941,67.25
27.54736,67.25
27.67549,69.94
27.78764,61.87
27.89938,75.32
28.01146,78.01
28.12342,80.7
28.23575,59.18
28.34779,56.49
28.45987,56.49
28.57216,53.8
28.6841,61.87
28.81125,64.56
28.92339,69.94
29.03535,67.25
29.14778,78.01
29.25986,78.01
29.37171,75.32
29.48354,78.01
29.59554,67.25
29.70744,61.87
29.81929,56.49
29.93115,56.49
30.04348,69.94
30.29933,67.25
30.42718,69.94
30.53915,75.32
30.65123,69.94
30.76327,75.32
30.87523,78.01
30.9872,75.32
31.09915,69.94
31.21118,80.7
31.32332,78.01
31.43527,64.56
31.54785,59.18
31.65947,72.63
31.77104,75.32
31.88314,72.63
31.99564,78.01
32.10712,83.39
32.21903,75.32
32.33175,75.32
32.44329,67.25
32.55541,72.63
32.66757,67.25
32.77907,72.63
32.89119,78.01
33.00335,75.32
33.11544,75.32
33.22716,75.32
33.33915,72.63
33.45143,69.94
33.57894,67.25
33.69172,72.63
33.80299,75.32
33.91527,67.25
34.02696,72.63
34.13933,78.01
34.25084,10.76
34.36335,-67.25
34.4753,-67.25
34.58723,-69.94
34.69925,-72.63
34.81082,-64.56
34.9232,-64.56
35.03487,-69.94
35.14737,-72.63
35.25903,-69.94
35.37146,-69.94
35.48368,-72.63
35.59483,-69.94
35.70716,-64.56
35.81899,-67.25
35.93098,-67.25
