time,torque servo4
0,0
0.0475275,-0.156784
0.191551,-0.442915
0.336655,-0.990875
0.480215,-1.38597
0.623166,-1.03869
0.767934,-1.06221
0.911697,-1.08181
1.05579,-0.968141
1.19933,-1.14452
1.32731,-1.00734
1.47232,-0.960302
1.61518,-1.24643
1.75936,-0.968141
1.90384,-1.00342
2.04759,-1.07789
2.19279,-0.983819
2.33551,-1.03869
2.48003,-1.13668
2.62319,-0.936784
2.76754,-1.12884
2.91178,-1.08573
3.05524,-0.952463
3.19949,-1.1798
3.34328,-1.11709
3.48746,-0.940704
3.63147,-1.08965
3.77528,-1.04261
3.91927,-0.97598
4.06395,-1.17196
4.20694,-0.983819
4.35112,-1.03869
4.49508,-2.01938
4.63916,-0.921106
4.78404,-1.10533
4.92698,-2.16989
5.07152,-0.917186
5.2176,-1.05045
5.35904,-2.08836
5.50322,-0.928945
5.64724,-1.10141
5.79145,-1.98802
5.93603,-0.932865
6.07982,-1.96294
6.2244,-1.04653
6.36786,-0.9799
6.51178,-1.98802
6.65568,-0.952463
6.79938,-1.04653
6.94359,-1.05045
7.08733,-0.999498
7.23161,-1.04653
7.37559,-1.16412
7.51994,-0.964221
7.66295,-1.07397
7.80701,-1.12884
7.95127,-0.983819
8.09603,-1.1406
8.2399,-1.05437
8.38345,-0.960302
8.52699,-1.21116
8.67141,-1.04261
8.81548,-1.03477
8.95957,-1.09749
9.10392,-1.07397
9.24795,-1.00734
9.39155,-1.18372
9.51875,-1.12884
9.64691,-0.956382
9.77477,-1.17196
9.90273,-2.10091
10.0309,-0.936784
10.159,-1.05437
10.2872,-1.12884
10.4307,-0.97598
10.5747,-1.05829
10.7189,-1.18764
10.8474,-0.940704
10.9755,-1.12492
11.1191,-1.10141
11.2628,-0.944623
11.4072,-1.1798
11.5516,-1.02693
11.6952,-0.995578
11.8389,-1.07397
11.9832,-1.06221
12.1272,-1.00342
12.2717,-1.23467
12.4152,-0.9799
12.559,-1.03477
12.7032,-1.10533
12.8471,-0.9799
12.9908,-1.10533
13.1353,-1.08573
13.2796,-0.948543
13.4226,-1.10141
13.5674,-1.13276
13.7113,-1.04653
13.8552,-1.11709
14.1593,-0.999498
14.303,-1.31699
14.447,-0.984603
14.5906,-0.714935
14.7347,-1.06927
14.8792,-0.991659
15.0233,-1.08651
15.1668,-1.02615
15.3111,-1.05202
15.4547,-1.06927
15.5993,-1.11238
15.7426,-1.06064
15.887,-1.08651
16.031,-1.07789
16.1744,-1.00028
16.3188,-1.10376
16.4632,-1.05202
16.6068,-0.983035
16.7508,-1.05202
16.8945,-1.06927
17.0389,-1.01753
17.1833,-1.06927
17.3268,-1.09514
17.4708,-1.06064
17.6147,-1.08651
17.7582,-1.12101
17.9026,-1.0434
18.0467,-1.06064
18.1903,-1.06064
18.3347,-0.965789
18.4788,-1.0434
18.6251,-1.03477
18.767,-1.0089
18.911,-1.03477
19.0547,-1.09514
19.1986,-1.00028
19.3426,-1.05202
19.4869,-1.09514
19.631,-1.05202
19.7744,-1.06927
19.9189,-1.06064
20.0628,-1.06064
20.2076,-0.965789
20.3505,-1.06064
20.4782,-1.06927
20.606,-1.01753
20.7347,-1.06927
20.8789,-1.06064
21.0066,-1.0089
21.1347,-1.0434
21.4067,-1.12963
21.534,-1.10376
21.6627,-1.44241
21.7901,-1.77479
21.9184,-1.05437
22.0467,-1.06221
