time,current servo1
0,0
0.0319555,0
0.1437824,99.53
0.2561029,56.49
0.3677934,61.87
0.4802478,67.25
0.5924943,69.94
0.7040718,190.99
0.8163866,293.21
0.9280685,376.6
1.039684,347.01
1.152499,379.29
1.264014,384.67
1.375712,357.77
1.487734,349.7
1.600192,376.6
1.712088,390.05
1.824255,373.91
1.935645,376.6
2.047701,363.15
2.159786,381.98
2.272502,384.67
2.38418,371.22
2.495783,390.05
2.607818,379.29
2.720086,384.67
2.832113,360.46
2.943656,392.74
3.075797,390.05
3.200079,357.77
3.311623,390.05
3.423735,381.98
3.535993,384.67
3.647994,368.53
3.759646,381.98
3.872099,376.6
3.983858,400.81
4.095443,368.53
4.207904,381.98
4.320083,376.6
4.431402,379.29
4.543554,373.91
4.656087,387.36
4.767963,398.12
4.879972,384.67
4.992206,387.36
5.104089,390.05
5.216253,403.5
5.327568,392.74
5.439956,365.84
5.551966,387.36
5.664109,390.05
5.775799,376.6
5.887696,400.81
5.999879,406.19
6.112159,403.5
6.224005,390.05
6.336185,379.29
6.447905,406.19
6.559471,408.88
6.671597,381.98
6.784088,392.74
6.911499,403.5
7.039484,384.67
7.151921,373.91
7.263742,411.57
7.375895,400.81
7.488054,416.95
7.599945,384.67
7.71211,392.74
7.824,408.88
7.93544,408.88
8.047949,381.98
8.159294,427.71
8.271581,425.02
8.384017,390.05
8.511975,384.67
8.639347,416.95
8.751288,408.88
8.863275,398.12
8.975125,408.88
9.088138,406.19
9.199128,406.19
9.311329,403.5
9.423167,398.12
9.535352,416.95
9.647242,414.26
9.759288,387.36
9.871133,403.5
10.00012,390.05
10.11202,392.74
10.23998,387.36
10.36798,411.57
10.49514,414.26
10.62338,392.74
10.75138,384.67
10.87938,398.12
11.00729,416.95
11.13615,373.91
11.40733,416.95
11.53598,258.24
11.66321,112.98
11.7913,69.94
11.91986,94.15
12.04704,96.84
12.17532,91.46
12.30306,94.15
12.43141,94.15
12.55914,94.15
12.68815,88.77
12.81576,91.46
12.94319,91.46
13.07167,83.39
13.19958,88.77
13.32707,91.46
13.45539,78.01
13.58348,88.77
13.71134,94.15
13.83934,86.08
13.96737,86.08
14.09514,91.46
14.22339,86.08
14.35167,88.77
14.47916,91.46
14.60694,94.15
14.73495,91.46
14.86303,96.84
14.99108,91.46
15.11932,91.46
15.24697,96.84
15.37531,102.22
15.50335,94.15
15.63071,99.53
15.75886,102.22
15.88707,94.15
16.01475,99.53
16.14372,102.22
16.27088,96.84
16.39867,99.53
16.52714,99.53
16.65483,94.15
16.78361,96.84
16.91084,102.22
17.03874,94.15
17.16704,94.15
17.29471,99.53
17.42274,99.53
17.55085,96.84
17.67866,102.22
17.95112,94.15
18.07893,217.89
18.20709,365.84
18.33493,395.43
18.4626,373.91
18.59087,360.46
18.71894,390.05
18.84695,395.43
18.97462,357.77
19.10308,384.67
19.23081,403.5
19.35896,368.53
19.48708,357.77
19.6148,387.36
19.74261,403.5
19.87097,376.6
19.99913,398.12
20.12656,430.4
20.25454,376.6
20.38276,403.5
20.51065,403.5
20.63886,395.43
20.76694,379.29
20.89467,390.05
21.02298,387.36
21.15067,387.36
21.2786,373.91
21.40684,395.43
21.53485,387.36
21.66274,376.6
21.79074,390.05
21.91851,406.19
22.04683,379.29
22.17458,411.57
22.30251,422.33
22.43049,408.88
22.55869,408.88
22.68673,425.02
22.81421,419.64
22.94234,390.05
23.07071,414.26
23.19839,400.81
23.3263,379.29
23.45503,381.98
23.58296,384.67
23.7104,395.43
23.83897,373.91
23.96652,400.81
24.09456,411.57
24.22278,376.6
24.49414,395.43
24.62207,263.62
24.75061,118.36
24.87817,86.08
25.00663,104.91
25.13445,104.91
25.26258,99.53
25.39034,99.53
25.51848,104.91
25.64662,91.46
25.77521,96.84
25.90287,96.84
26.03068,88.77
26.15873,94.15
26.28669,96.84
26.41431,91.46
26.52608,91.46
26.65474,96.84
26.78267,99.53
26.91016,91.46
27.03859,96.84
27.15062,99.53
27.26254,86.08
27.37457,99.53
27.48619,99.53
27.61454,94.15
27.74218,94.15
27.87015,96.84
27.99811,102.22
28.12611,96.84
28.25386,99.53
28.38191,104.91
28.50997,94.15
28.63811,102.22
28.76632,102.22
28.89419,96.84
29.02235,99.53
29.15015,99.53
29.27836,94.15
29.40592,94.15
29.53438,102.22
29.66216,94.15
29.79047,94.15
29.91834,102.22
30.04619,96.84
30.17448,99.53
30.30192,102.22
30.43055,99.53
30.55803,88.77
30.6864,96.84
30.95797,94.15
31.08672,99.53
31.21393,102.22
31.34172,99.53
31.46999,99.53
31.59792,107.6
31.72594,96.84
31.83777,102.22
31.96651,104.91
32.07778,99.53
32.19024,96.84
32.31793,99.53
32.4461,102.22
32.57377,96.84
32.68579,102.22
32.81427,104.91
32.92559,94.15
33.05464,96.84
33.18161,102.22
33.30995,96.84
33.43801,96.84
33.56614,102.22
33.69377,102.22
33.82227,94.15
33.95062,104.91
34.07755,40.35
34.20615,-21.52
34.33418,-67.25
34.46178,-67.25
34.59007,-69.94
34.71771,-64.56
34.84615,-69.94
34.97351,-72.63
35.10155,-69.94
35.2298,-69.94
35.35862,-69.94
35.48565,-69.94
35.61366,-67.25
35.74163,-72.63
35.86975,-69.94
35.99756,-69.94
36.12568,-67.25
36.25367,-69.94
36.38164,-67.25
36.50956,-69.94
36.63797,-72.63
36.76538,-67.25
36.89352,-69.94
37.02177,-72.63
37.15013,-72.63
37.27756,-67.25
