time,currents servo1
0,0
0.031413,0
0.1593251,21.52
0.2712417,21.52
0.383466,21.52
0.4960901,21.52
0.6073481,18.83
0.7192096,21.52
0.8314293,18.83
0.9594207,34.97
1.087388,24.21
1.199334,18.83
1.327247,16.14
1.455209,16.14
1.567316,18.83
1.679269,21.52
1.807254,18.83
1.935333,16.14
2.063258,16.14
2.191314,18.83
2.303242,13.45
2.415275,16.14
2.527322,18.83
2.639265,16.14
2.751152,13.45
2.879079,13.45
3.006925,13.45
3.135092,18.83
3.247057,13.45
3.375315,16.14
3.503245,266.31
3.631158,454.61
3.759178,667.12
3.871047,737.06
3.983127,653.67
4.095083,629.46
4.206793,683.26
4.319053,624.08
4.446955,648.29
4.575037,632.15
4.687138,650.98
4.815025,640.22
4.926947,659.05
5.038907,659.05
5.15086,629.46
5.262738,688.64
5.374814,629.46
5.486824,691.33
5.599039,621.39
5.710803,656.36
5.822824,672.5
5.935035,661.74
6.047224,675.19
6.158762,621.39
6.270975,669.81
6.382894,640.22
6.494762,667.12
6.623059,659.05
6.750793,669.81
6.878978,640.22
7.006955,667.12
7.118648,672.5
7.231016,650.98
7.342732,683.26
7.45476,632.15
7.566747,699.4
7.694827,659.05
7.822688,702.09
7.934684,653.67
8.046645,694.02
8.174721,677.88
8.2867,661.74
8.398758,688.64
8.510647,634.84
8.622706,704.78
8.734777,650.98
8.862778,688.64
8.990639,650.98
9.102724,677.88
9.214554,656.36
9.326541,669.81
9.43871,699.4
9.550625,653.67
9.662918,718.23
9.774665,672.5
9.902761,691.33
10.03068,656.36
10.15864,675.19
10.27061,659.05
10.38283,680.57
10.4948,688.64
10.60692,680.57
10.71862,718.23
10.8306,672.5
10.94235,712.85
11.05471,659.05
11.16679,691.33
11.27927,694.02
11.40836,694.02
11.66253,669.81
11.77473,677.88
11.88684,685.95
11.99876,688.64
12.11112,688.64
12.22244,688.64
12.33435,688.64
12.44638,688.64
12.55865,688.64
12.67061,688.64
12.79853,688.64
12.92663,688.64
13.05448,685.95
13.16652,685.95
13.27839,685.95
13.39047,685.95
13.5024,685.95
13.6145,685.95
13.72639,685.95
13.83858,685.95
13.95039,685.95
14.06248,683.26
14.17418,683.26
14.28627,683.26
14.3983,683.26
14.52642,683.26
14.6542,683.26
14.78223,683.26
14.89433,683.26
15.0224,683.26
15.13426,683.26
15.24613,683.26
15.37412,683.26
15.5022,680.57
15.61416,680.57
15.72627,680.57
15.83814,680.57
15.9502,680.57
16.07821,680.57
16.19011,680.57
16.30214,680.57
16.41441,680.57
16.54204,680.57
16.65418,680.57
16.76611,680.57
16.87805,680.57
16.98996,680.57
17.10203,677.88
17.21409,677.88
17.32592,677.88
17.43804,677.88
17.55007,677.88
17.66205,677.88
17.79003,677.88
17.91797,677.88
18.04608,677.88
18.17405,677.88
18.28624,677.88
18.39804,677.88
18.5102,677.88
18.62222,677.88
18.73423,677.88
18.84601,677.88
18.95794,677.88
19.07011,677.88
19.18206,677.88
19.30996,677.88
19.43789,677.88
19.54993,677.88
19.6619,677.88
19.79016,677.88
19.90183,677.88
20.01392,677.88
20.1259,677.88
20.23785,677.88
20.35005,675.19
20.46213,675.19
20.58996,675.19
20.71795,675.19
20.82986,675.19
20.9578,675.19
21.06974,675.19
21.18182,675.19
21.29387,675.19
21.40589,675.19
21.51779,675.19
21.62992,675.19
21.75788,675.19
21.88577,675.19
21.99778,675.19
22.10993,675.19
22.22191,675.19
22.33372,675.19
22.46186,675.19
22.58979,675.19
22.70172,675.19
22.81375,675.19
22.92585,675.19
23.038,675.19
23.14995,672.5
23.42209,672.5
23.53395,425.02
23.64599,244.79
23.75781,309.35
23.87018,317.42
23.98158,306.66
24.10959,328.18
24.22163,301.28
24.34977,325.49
24.47788,301.28
24.58988,336.25
24.70176,301.28
24.81375,330.87
24.92585,306.66
25.03762,320.11
25.14969,301.28
25.26174,317.42
25.37354,320.11
25.48557,303.97
25.59762,325.49
25.72543,301.28
25.8376,322.8
25.94959,301.28
26.07756,328.18
26.1896,306.66
26.30165,333.56
26.41362,303.97
26.5255,325.49
26.63752,303.97
26.74967,330.87
26.86143,322.8
26.97353,320.11
27.08564,325.49
27.19747,314.73
27.3094,330.87
27.42131,303.97
27.53355,336.25
27.64537,306.66
27.75749,328.18
27.86949,314.73
27.98134,322.8
28.09333,322.8
28.20544,320.11
28.31745,328.18
28.4456,322.8
28.57339,320.11
28.68555,309.35
28.79783,325.49
28.92563,303.97
29.0374,341.63
29.14951,317.42
29.26143,347.01
29.38936,312.04
29.50138,333.56
29.62946,303.97
29.75742,338.94
29.86922,317.42
29.98126,338.94
30.09328,314.73
30.20543,328.18
30.31734,309.35
30.42943,320.11
30.54133,322.8
30.65329,322.8
30.76542,328.18
30.89338,301.28
31.00521,330.87
31.13342,303.97
31.26124,134.5
31.3894,0
31.50141,-8.07
31.61312,-8.07
31.72518,-10.76
31.83714,-10.76
31.94908,-10.76
32.06129,-10.76
32.18924,-10.76
32.31711,-10.76
32.4453,-13.45
32.57324,-10.76
32.68528,-13.45
32.7972,-13.45
32.90906,-13.45
33.02134,-10.76
33.13335,-13.45
33.24532,-13.45
33.35743,-13.45
33.46946,-13.45
33.59745,-16.14
33.70934,-13.45
33.8214,-16.14
33.93311,-16.14
34.04508,-16.14
34.15717,-18.83
34.26942,-18.83
34.39734,-18.83
34.50913,-18.83
34.62125,-21.52
34.73316,-18.83
34.84523,-18.83
34.95707,-21.52
