time,currents servo1,currents servo2
0,0,0
0,0,0
0.0475496,0,0
0.1594932,21.52,0
0.271509,18.83,0
0.3834979,16.14,0
0.495505,16.14,0
0.6075449,16.14,0
0.7194046,13.45,0
0.8314809,16.14,0
0.943502,18.83,0
1.05553,16.14,0
1.183427,13.45,0
1.311408,13.45,0
1.439361,16.14,0
1.567488,13.45,0
1.679436,13.45,0
1.791405,16.14,0
1.903448,13.45,0
2.015421,13.45,0
2.127357,13.45,0
2.255316,16.14,0
2.383345,13.45,0
2.511334,10.76,0
2.639348,13.45,0
2.767449,13.45,0
2.879316,13.45,0
2.991328,13.45,0
3.103304,10.76,0
3.215298,10.76,0
3.327207,10.76,0
3.455235,13.45,0
3.583196,10.76,0
3.711197,10.76,0
3.823275,10.76,0
3.951272,10.76,0
4.063292,10.76,0
4.175226,10.76,0
4.287179,10.76,0
4.415229,96.84,0
4.543217,174.85,0
4.671194,260.93,0
4.799338,341.63,0
4.911187,427.71,0
5.023185,508.41,0
5.135178,572.97,0
5.247225,661.74,0
5.359235,710.16,0
5.471076,653.67,0
5.58317,718.23,0
5.695235,645.6,0
5.807164,637.53,0
5.935122,642.91,0
6.063151,691.33,0
6.191102,793.55,0
6.319106,661.74,0
6.447098,632.15,0
6.559068,664.43,0
6.67099,669.81,0
6.783082,712.85,0
6.895093,664.43,0
7.007064,685.95,0
7.119089,659.05,0
7.247054,626.77,0
7.375075,667.12,0
7.502995,739.75,0
7.631069,691.33,0
7.743042,648.29,0
7.854993,656.36,0
7.966974,632.15,0
8.079001,731.68,0
8.19099,782.79,0
8.303068,637.53,0
8.430951,645.6,0
8.543096,626.77,0
8.654959,720.92,0
8.766931,742.44,0
8.879018,624.08,0
8.990936,640.22,0
9.118996,624.08,0
9.246918,707.47,0
9.374942,809.69,0
9.50288,624.08,0
9.614915,645.6,0
9.726882,640.22,0
9.838859,707.47,0
9.95088,677.88,0
10.06293,715.54,0
10.17478,669.81,0
10.28685,675.19,0
10.39887,621.39,0
10.51082,675.19,0
10.62277,742.44,0
10.75088,685.95,0
10.86282,629.46,0
10.97486,669.81,0
11.08679,640.22,0
11.19881,758.58,0
11.31081,742.44,0
11.56731,691.33,0
