time,currents servo1,currents servo2
0,0,0
0,0,0
0.0479925,0,0
0.1757831,16.14,0
0.3035533,13.45,0
0.4154861,13.45,0
0.527709,10.76,0
0.639351,13.45,0
0.7514727,13.45,0
0.8634138,13.45,0
0.9756384,10.76,0
1.087483,13.45,0
1.199472,13.45,0
1.311605,94.15,0
1.423363,207.13,0
1.535275,287.83,0
1.647114,427.71,0
1.775198,538,0
1.903369,661.74,0
2.031224,680.57,0
2.15945,664.43,0
2.287411,634.84,0
2.399423,634.84,0
2.51106,667.12,0
2.623423,691.33,0
2.751409,672.5,0
2.863314,640.22,0
2.975156,672.5,0
3.103251,688.64,0
3.231052,616.01,0
3.359079,626.77,0
3.487125,699.4,0
3.61508,661.74,0
3.727485,621.39,0
3.855004,737.06,0
3.983256,683.26,0
4.111301,624.08,0
4.239236,661.74,0
4.351107,659.05,0
4.462921,712.85,0
4.574915,626.77,0
4.687153,650.98,0
4.799163,667.12,0
4.91109,650.98,0
5.022927,621.39,0
5.135097,664.43,0
5.24686,715.54,0
5.358808,667.12,0
5.47079,634.84,0
5.582794,661.74,0
5.695086,656.36,0
5.822913,650.98,0
5.950898,626.77,0
6.062784,704.78,0
6.174717,702.09,0
6.28706,626.77,0
6.398873,675.19,0
6.527046,683.26,0
6.638907,656.36,0
6.766745,632.15,0
6.878739,696.71,0
6.990713,688.64,0
7.103155,629.46,0
7.214891,621.39,0
7.342756,718.23,0
7.470948,680.57,0
7.582932,629.46,0
7.694908,659.05,0
7.806687,702.09,0
7.918706,672.5,0
8.046714,645.6,0
8.158803,661.74,0
8.287429,710.16,0
8.414848,648.29,0
8.542848,626.77,0
8.671064,731.68,0
8.782668,683.26,0
8.894847,645.6,0
9.006853,653.67,0
9.118953,688.64,0
9.230938,675.19,0
9.343086,659.05,0
9.470932,664.43,0
9.598787,699.4,0
9.710665,704.78,0
9.82287,629.46,0
9.934824,702.09,0
10.04679,702.09,0
10.15878,685.95,0
10.28693,650.98,0
10.41458,645.6,0
10.54256,683.26,0
10.67081,642.91,0
10.78278,629.46,0
10.89482,742.44,0
11.00692,683.26,0
11.11857,656.36,0
11.23074,664.43,0
11.34267,763.96,0
11.59929,683.26,0
