time,current servo4
0,0
0.0323846,0
0.143928,107.6
0.255897,217.89
0.3678687,328.18
0.4802821,322.8
0.5918563,295.9
0.7039087,406.19
0.815816,540.69
0.927761,594.49
1.039849,702.09
1.167889,737.06
1.29591,710.16
1.42388,731.68
1.535772,694.02
1.663835,699.4
1.791731,777.41
1.903818,726.3
2.015703,675.19
2.127644,720.92
2.239841,737.06
2.351743,728.99
2.463784,683.26
2.575744,739.75
2.687685,739.75
2.815561,720.92
2.927805,685.95
3.039743,720.92
3.167801,763.96
3.295652,685.95
3.423474,702.09
3.551591,777.41
3.663556,712.85
3.775717,683.26
3.887685,702.09
3.999698,731.68
4.11153,720.92
4.223677,710.16
4.335452,726.3
4.463637,755.89
4.591671,702.09
4.703663,685.95
4.815569,742.44
4.927575,769.34
5.039521,699.4
5.151479,702.09
5.263606,745.13
5.37557,726.3
5.487658,680.57
5.599537,712.85
5.711641,742.44
5.823546,753.2
5.935558,702.09
6.063533,707.47
6.191535,755.89
6.303575,710.16
6.415529,677.88
6.527361,728.99
6.639617,766.65
6.751522,691.33
6.863574,694.02
6.975545,780.1
7.087529,739.75
7.199512,704.78
7.311557,704.78
7.423601,753.2
7.551577,745.13
7.663656,704.78
7.79165,731.68
7.919595,745.13
8.047562,715.54
8.159324,688.64
8.271845,718.23
8.399531,790.86
8.511496,712.85
8.623442,694.02
8.735396,761.27
8.863775,753.2
8.991426,712.85
9.10346,723.61
9.215509,753.2
9.327322,755.89
9.439265,696.71
9.551236,747.82
9.679276,763.96
9.791286,723.61
9.903278,680.57
10.03124,704.78
10.15929,761.27
10.27124,728.99
10.38319,699.4
10.49533,737.06
10.60708,766.65
10.71923,723.61
10.84714,710.16
10.95916,755.89
11.07117,763.96
11.19926,710.16
11.32713,718.23
11.59939,715.54
11.72735,589.11
11.83922,449.23
11.96734,320.11
12.09556,287.83
12.20706,295.9
12.33547,303.97
12.46304,312.04
12.59096,285.14
12.71928,298.59
12.84704,309.35
12.95906,282.45
13.07108,314.73
13.18299,312.04
13.2951,341.63
13.40704,293.21
13.51891,314.73
13.64712,309.35
13.7749,312.04
13.88693,303.97
14.01502,301.28
14.14292,325.49
14.25493,290.52
14.36682,309.35
14.47888,328.18
14.59092,317.42
14.70273,317.42
14.81481,314.73
14.92691,328.18
15.03897,306.66
15.16692,306.66
15.29501,312.04
15.42287,306.66
15.55078,303.97
15.67882,314.73
15.80679,317.42
15.93485,301.28
16.04689,312.04
16.15899,333.56
16.27086,295.9
16.38271,312.04
16.49484,303.97
16.60668,295.9
16.71869,312.04
16.8307,314.73
16.94279,322.8
17.0548,314.73
17.16679,317.42
17.27875,312.04
17.4066,312.04
17.6789,328.18
17.80693,430.4
17.93489,570.28
18.06291,707.47
18.19143,780.1
18.31868,726.3
18.44675,769.34
18.57466,696.71
18.68661,728.99
18.81464,774.72
18.92662,718.23
19.03859,694.02
19.15142,710.16
19.26269,761.27
19.37455,691.33
19.48673,677.88
19.59866,758.58
19.71058,745.13
19.82252,726.3
19.93442,691.33
20.04661,774.72
20.15859,739.75
20.27053,704.78
20.38249,710.16
20.49441,723.61
20.60665,750.51
20.71856,702.09
20.83049,699.4
20.9426,745.13
21.05474,780.1
21.16665,694.02
21.27859,688.64
21.39067,782.79
21.50253,723.61
21.61452,704.78
21.72657,710.16
21.83841,745.13
21.95047,769.34
22.06284,707.47
22.19066,747.82
22.31842,763.96
22.4588,715.54
22.57461,702.09
22.70244,742.44
22.83048,761.27
22.9584,704.78
23.08627,728.99
23.21451,777.41
23.32643,704.78
23.43816,704.78
23.67866,747.82
23.79053,618.7
23.90281,494.96
24.01467,368.53
24.12708,282.45
24.23826,317.42
24.35025,317.42
24.46215,322.8
24.57436,295.9
24.6865,301.28
24.81427,320.11
24.92629,293.21
25.05504,298.59
25.18232,309.35
25.31028,317.42
25.43823,293.21
25.56629,303.97
25.69426,314.73
25.82226,285.14
25.95111,314.73
26.07817,312.04
26.20615,295.9
26.33422,314.73
26.46221,312.04
26.59077,293.21
26.70207,309.35
26.81414,306.66
26.94215,320.11
27.07,303.97
27.19795,312.04
27.32603,320.11
27.45415,285.14
27.56614,314.73
27.678,320.11
27.79012,295.9
27.90188,317.42
28.014,303.97
28.12604,325.49
28.23789,295.9
28.35002,317.42
28.46224,320.11
28.57383,303.97
28.68632,298.59
28.79852,303.97
28.91024,325.49
29.02211,306.66
29.13445,314.73
29.2459,314.73
29.3579,325.49
29.47001,306.66
29.71018,328.18
29.82209,298.59
29.93423,317.42
30.04612,312.04
30.15842,320.11
30.28587,298.59
30.41406,309.35
30.54201,325.49
30.67004,301.28
30.79794,317.42
30.92599,325.49
31.05403,298.59
31.18192,317.42
31.30988,325.49
31.43797,295.9
31.56602,322.8
31.69389,320.11
31.82193,306.66
31.94969,317.42
32.07777,328.18
32.20574,322.8
32.3339,312.04
32.46177,320.11
32.58983,330.87
32.71763,314.73
32.83301,317.42
32.94183,328.18
33.05381,295.9
33.16573,312.04
33.27763,309.35
33.38976,150.64
33.50162,51.11
33.61414,0
33.72634,-13.45
33.8381,-13.45
33.94998,-13.45
34.06239,-13.45
34.1742,-13.45
34.28568,-13.45
34.41382,-10.76
34.54291,-10.76
34.66981,-10.76
34.79763,-10.76
34.92545,-13.45
35.03758,-13.45
35.14951,-10.76
35.26144,-10.76
35.37357,-10.76
35.48566,-10.76
35.59747,-10.76
35.7098,-10.76
